epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,204.598,0.49158,0.89062,1,0.20353,0.000235264,0.000235264,0.000235264
2,403.963,0.22374,0.94792,1,0.12528,0.00043422,0.00043422,0.00043422
3,796.369,0.1802,0.92708,1,0.15768,0.000593906,0.000593906,0.000593906
4,3297.51,0.15318,0.98438,1,0.05462,0.000537285,0.000537285,0.000537285
5,3520.52,0.0968,0.97917,1,0.05688,0.00047838,0.00047838,0.00047838
6,3703.43,0.11217,0.97917,1,0.05818,0.000419475,0.000419475,0.000419475
7,3899.9,0.11279,0.98958,1,0.03944,0.00036057,0.00036057,0.00036057
8,4098.31,0.06658,0.98958,1,0.03981,0.000301665,0.000301665,0.000301665
9,4330.74,0.07278,0.98958,1,0.03043,0.00024276,0.00024276,0.00024276
10,4528.25,0.05179,0.98438,1,0.04213,0.000183855,0.000183855,0.000183855
11,4738.82,0.04621,0.98438,1,0.03711,0.00012495,0.00012495,0.00012495
12,5152.6,0.05055,0.98438,1,0.02769,6.6045e-05,6.6045e-05,6.6045e-05
